日期,开盘,最高,最低,收盘,成交量,成交额
2024-04-08,218.1,221.06,210.97,212.79,6579040,1399953921.6
2024-04-09,212.79,219.54,210.41,218.84,5944534,1300901820.56
2024-04-10,218.84,222.95,217.09,222.86,7017025,1563814191.5
2024-04-11,222.86,230.12,220.05,229.63,1789695,410967662.85
2024-04-12,229.63,235.75,228.16,233.19,6798536,1585350609.84
2024-04-15,233.19,234.89,228.3,230.4,2544032,586144972.8
2024-04-16,230.4,232.14,226.63,228.59,7982683,1824761506.97
2024-04-17,228.59,235.08,227.83,233.89,926364,216667275.96
2024-04-18,233.89,238.97,233.06,235.46,4778393,1125120415.78
2024-04-19,235.46,240.96,232.23,240.6,4415647,1062404668.2
2024-04-22,240.6,250.22,238.14,247.14,6546824,1617982083.36
2024-04-23,247.14,248.19,243.31,243.65,6479834,1578811554.1
2024-04-24,243.65,246.3,236.48,238.62,973606,232321863.72
2024-04-25,238.62,241.1,235.99,240.59,718511,172866561.49
2024-04-26,240.59,249.66,239.21,246.42,7334360,1807332991.2
2024-04-29,246.42,251.88,244.52,248.88,1065377,265151027.76
2024-04-30,248.88,259.39,245.32,257.67,3337493,859971821.31
2024-05-01,257.67,258.15,256.0,256.79,3246111,833568843.69
2024-05-02,256.79,257.09,253.99,255.83,3975384,1017022488.72
2024-05-03,255.83,259.39,253.43,253.53,6481767,1643322387.51
2024-05-06,253.53,255.43,251.38,253.87,6789077,1723542977.99
2024-05-07,253.87,254.82,247.33,247.34,4965941,1228275846.94
2024-05-08,247.34,248.45,241.97,245.54,2242675,550666419.5
2024-05-09,245.54,247.66,245.5,245.59,5775954,1418516542.86
2024-05-10,245.59,255.31,245.17,254.97,1578731,402529043.07
2024-05-13,254.97,266.58,252.57,264.38,3128908,827220697.04
2024-05-14,264.38,264.44,256.67,259.39,913409,236929160.51
2024-05-15,259.39,261.09,248.89,252.62,1994742,503911724.04
2024-05-16,252.62,259.43,249.97,256.7,7186971,1844895455.7
2024-05-17,256.7,259.73,256.27,257.75,3424895,882766686.25
2024-05-20,257.75,263.25,255.74,261.22,7058680,1843868389.6
2024-05-21,261.22,267.47,258.18,267.1,3057266,816595748.6
2024-05-22,267.1,268.08,265.84,266.97,5356602,1430052035.94
2024-05-23,266.97,274.04,265.84,272.33,6734532,1834015099.56
2024-05-24,272.33,278.2,269.67,277.8,1847892,513344397.6
2024-05-27,277.8,278.3,267.33,270.38,1754611,474411722.18
2024-05-28,270.38,278.48,269.14,277.57,1365761,379094280.77
2024-05-29,277.57,281.32,277.38,278.82,5327711,1485472381.02
2024-05-30,278.82,281.67,276.82,281.09,4511006,1267998676.54
2024-05-31,281.09,282.62,279.17,279.18,7939698,2216604887.64
2024-06-03,279.18,283.31,275.96,280.38,7677693,2152671563.34
2024-06-04,280.38,289.96,278.61,288.03,1667857,480392851.71
2024-06-05,288.03,296.41,287.42,293.63,3417888,1003594453.44
2024-06-06,293.63,297.62,287.85,287.93,3539204,1019043007.72
2024-06-07,287.93,289.44,285.08,285.91,1741194,497824776.54
2024-06-10,285.91,294.66,283.21,292.19,975646,285074004.74
2024-06-11,292.19,302.45,288.82,299.76,4625690,1386596834.4
2024-06-12,299.76,300.7,298.69,299.38,3658137,1095173055.06
2024-06-13,299.38,308.99,297.61,307.16,4099014,1259053140.24
2024-06-14,307.16,307.53,305.44,306.55,1913311,586525487.05
2024-06-17,306.55,318.06,303.98,315.25,7068391,2228310262.75
