日期,开盘,最高,最低,收盘,成交量,成交额
2024-02-07,2120.63,2134.32,2060.2,2077.34,6425685,13348332477.9
2024-02-08,2077.34,2088.52,2047.88,2075.41,2435683,5055040855.03
2024-02-09,2075.41,2080.9,2027.99,2035.07,2457364,5000907755.48
2024-02-12,2035.07,2060.44,1970.34,1975.74,2865006,5660506954.44
2024-02-13,1975.74,1988.16,1906.41,1917.03,5250814,10065967962.42
2024-02-14,1917.03,1920.64,1877.75,1902.27,5680743,10806306986.61
2024-02-15,1902.27,1953.86,1889.24,1932.42,7806305,15085059908.1
2024-02-16,1932.42,2005.92,1909.29,1979.95,3791512,7507004184.4
2024-02-19,1979.95,1991.66,1961.45,1975.72,3859156,7624611692.32
2024-02-20,1975.72,1977.72,1919.03,1925.06,1861497,3583493414.82
2024-02-21,1925.06,1942.41,1879.23,1882.12,5254525,9889646593.0
2024-02-22,1882.12,1884.98,1835.52,1845.59,713916,1317596230.44
2024-02-23,1845.59,1851.35,1789.16,1799.31,5821813,10475246349.03
2024-02-26,1799.31,1808.69,1767.39,1777.1,1530475,2719807122.5
2024-02-27,1777.1,1790.11,1712.65,1738.14,4529846,7873506526.44
2024-02-28,1738.14,1747.11,1735.48,1744.86,3374237,5887571171.82
2024-02-29,1744.86,1795.74,1726.75,1782.94,4831327,8613966161.38
2024-03-01,1782.94,1808.37,1718.6,1732.33,1729791,2996568843.03
2024-03-04,1732.33,1788.23,1712.63,1764.04,3000557,5293102570.28
2024-03-05,1764.04,1855.67,1745.62,1831.95,2690393,4928665456.35
2024-03-06,1831.95,1868.59,1822.18,1843.47,2368921,4367034795.87
2024-03-07,1843.47,1878.59,1834.35,1856.89,2371009,4402702902.01
2024-03-08,1856.89,1903.13,1835.77,1880.89,2137003,4019467572.67
2024-03-11,1880.89,1954.29,1860.02,1930.59,2402028,4637331236.52
2024-03-12,1930.59,1944.86,1878.86,1899.69,734353,1395043050.57
2024-03-13,1899.69,1961.57,1894.17,1947.77,5576274,10861299208.98
2024-03-14,1947.77,2033.3,1920.39,2019.75,3431983,6931747664.25
2024-03-15,2019.75,2105.63,2013.07,2094.18,2402920,5032147005.6
2024-03-18,2094.18,2110.9,2079.02,2100.26,5619249,11801883904.74
2024-03-19,2100.26,2176.35,2079.69,2160.81,7207897,15574895916.57
2024-03-20,2160.81,2220.72,2156.92,2193.26,3759274,8245065293.24
2024-03-21,2193.26,2272.86,2177.53,2247.57,1997548,4489628958.36
2024-03-22,2247.57,2269.85,2244.65,2248.41,6555104,14738561384.64
2024-03-25,2248.41,2261.95,2211.4,2243.26,6580051,14760765206.26
2024-03-26,2243.26,2276.68,2200.0,2200.91,5456092,12008367443.72
2024-03-27,2200.91,2301.8,2196.08,2274.29,7433272,16905416176.88
2024-03-28,2274.29,2317.29,2242.31,2300.92,1807888,4159805656.96
2024-03-29,2300.92,2324.82,2300.43,2320.26,6593233,15298014800.58
2024-04-01,2320.26,2374.78,2287.77,2356.17,4139057,9752321931.69
2024-04-02,2356.17,2455.35,2325.28,2448.2,734828,1799005909.6
2024-04-03,2448.2,2458.96,2409.19,2417.91,5419391,13103599692.81
2024-04-04,2417.91,2437.65,2370.51,2400.55,1010904,2426725597.2
2024-04-05,2400.55,2494.62,2384.05,2481.45,5393484,13383660871.8
2024-04-08,2481.45,2568.34,2450.66,2548.58,7866613,20048692559.54
2024-04-09,2548.58,2582.06,2528.57,2561.62,656907,1682746109.34
2024-04-10,2561.62,2672.04,2538.24,2641.28,7009886,18515071694.08
2024-04-11,2641.28,2716.81,2622.52,2709.8,6583362,17839594347.6
2024-04-12,2709.8,2712.31,2624.19,2651.33,4952055,13129531983.15
2024-04-15,2651.33,2706.35,2647.11,2674.88,5200104,13909654187.52
2024-04-16,2674.88,2682.56,2603.62,2605.27,1319946,3438815715.42
2024-04-17,2605.27,2641.77,2575.57,2619.7,1031576,2702419647.2
2024-04-18,2619.7,2646.48,2599.83,2622.39,4796321,12577824227.19
2024-04-19,2622.39,2633.29,2560.65,2580.32,7272644,18765748766.08
2024-04-22,2580.32,2625.82,2553.26,2589.25,7852912,20333152396.0
2024-04-23,2589.25,2707.5,2553.41,2670.34,7988971,21333268820.14
2024-04-24,2670.34,2801.41,2664.85,2766.55,1520238,4205814438.9
2024-04-25,2766.55,2779.66,2731.76,2759.54,4093165,11295252544.1
2024-04-26,2759.54,2787.25,2659.24,2690.88,7017382,18882932876.16
2024-04-29,2690.88,2719.78,2613.11,2639.25,1699394,4485125614.5
2024-04-30,2639.25,2644.68,2588.54,2606.83,6763623,17631615345.09
2024-05-01,2606.83,2718.58,2587.78,2702.44,6102188,16490796938.72
2024-05-02,2702.44,2785.57,2684.95,2778.84,4825208,13408480998.72
2024-05-03,2778.84,2796.4,2759.18,2774.02,1273379,3532378813.58
2024-05-06,2774.02,2831.86,2750.97,2831.03,4194830,11875689574.9
2024-05-07,2831.03,2902.08,2809.06,2885.44,2978448,8594132997.12
2024-05-08,2885.44,2905.14,2842.8,2902.34,7113268,20645122247.12
2024-05-09,2902.34,2940.49,2858.09,2861.7,2781034,7958484997.8
2024-05-10,2861.7,2895.14,2772.49,2783.78,1586790,4417274266.2
2024-05-13,2783.78,2896.46,2755.55,2860.01,2669369,7634422033.69
2024-05-14,2860.01,2883.03,2833.43,2855.48,4649106,13275429200.88
2024-05-15,2855.48,2913.72,2853.02,2909.82,6273086,18253551104.52
2024-05-16,2909.82,2948.9,2848.33,2859.87,641194,1833731484.78
2024-05-17,2859.87,2935.96,2856.28,2901.08,7682566,22287738571.28
2024-05-20,2901.08,2912.59,2853.99,2859.21,596857,1706539502.97
2024-05-21,2859.21,2882.93,2801.82,2841.31,2746970,7804993330.7
2024-05-22,2841.31,2881.59,2811.07,2879.72,1418145,4083860519.4
2024-05-23,2879.72,3000.44,2871.9,2988.7,3117181,9316318854.7
2024-05-24,2988.7,3054.7,2979.47,3030.56,4238692,12845610427.52
2024-05-27,3030.56,3053.86,3014.79,3045.73,652363,1986921559.99
2024-05-28,3045.73,3168.14,3044.89,3166.39,4741733,15014175953.87
2024-05-29,3166.39,3202.62,3143.84,3193.54,4250173,13573097482.42
2024-05-30,3193.54,3232.77,3101.25,3121.49,4652374,14522338917.26
2024-05-31,3121.49,3189.08,3076.06,3147.13,3081871,9699048680.23
2024-06-03,3147.13,3251.44,3130.95,3204.22,7481725,23973092879.5
2024-06-04,3204.22,3342.05,3197.5,3305.91,3415478,11291262874.98
2024-06-05,3305.91,3477.06,3305.2,3433.95,5746640,19733674428.0
2024-06-06,3433.95,3522.47,3425.54,3509.02,1208710,4241387564.2
2024-06-07,3509.02,3587.53,3482.39,3567.15,2865027,10219981063.05
2024-06-10,3567.15,3647.16,3564.73,3609.65,2054845,7417271254.25
2024-06-11,3609.65,3633.79,3527.19,3541.17,3259232,11541494581.44
2024-06-12,3541.17,3706.2,3528.19,3676.03,7902011,29048029496.33
2024-06-13,3676.03,3695.69,3645.34,3645.4,3701316,13492777346.4
2024-06-14,3645.4,3660.65,3522.44,3557.45,2581879,9184905448.55
2024-06-17,3557.45,3576.69,3543.35,3576.42,1252906,4480918076.52
