日期,开盘,最高,最低,收盘,成交量,成交额
2024-03-26,54.22,54.23,53.38,53.64,2693934,144502619.76
2024-03-27,53.64,54.11,52.61,52.65,803178,42287321.7
2024-03-28,52.65,53.05,50.82,51.25,2950778,151227372.5
2024-03-29,51.25,51.59,49.76,50.28,4004066,201324438.48
2024-04-01,50.28,50.42,49.22,49.58,2788424,138250061.92
2024-04-02,49.58,49.85,48.64,49.05,2162957,106093040.85
2024-04-03,49.05,50.37,48.79,50.24,7338413,368681869.12
2024-04-04,50.24,51.17,50.15,50.61,1554447,78670562.67
2024-04-05,50.61,52.13,50.54,52.01,6868493,357230320.93
2024-04-08,52.01,52.62,51.73,52.32,7062251,369496972.32
2024-04-09,52.32,53.87,51.72,53.38,5626169,300324901.22
2024-04-10,53.38,54.0,51.68,52.38,7289975,381848890.5
2024-04-11,52.38,53.25,52.24,53.1,1432275,76053802.5
2024-04-12,53.1,53.61,51.64,52.05,605172,31499202.6
2024-04-15,52.05,52.77,50.72,51.33,7066299,362713127.67
2024-04-16,51.33,52.84,50.99,52.65,7151625,376533056.25
2024-04-17,52.65,54.0,51.96,53.29,1854199,98810264.71
2024-04-18,53.29,55.65,52.67,54.96,3629923,199500568.08
2024-04-19,54.96,55.45,53.8,54.28,670961,36419763.08
2024-04-22,54.28,54.41,53.03,53.79,7889994,424402777.26
2024-04-23,53.79,54.24,53.02,53.25,4630914,246596170.5
2024-04-24,53.25,53.31,52.97,53.25,5587520,297535440.0
2024-04-25,53.25,54.89,52.72,54.2,7256927,393325443.4
2024-04-26,54.2,55.75,53.54,55.72,5619337,313109457.64
2024-04-29,55.72,55.85,54.37,54.93,6906387,379367837.91
2024-04-30,54.93,56.85,54.6,56.6,4797251,271524406.6
2024-05-01,56.6,58.41,56.45,57.74,3908122,225654964.28
2024-05-02,57.74,60.21,57.18,60.02,1874351,112498547.02
2024-05-03,60.02,61.85,60.02,61.76,740878,45756625.28
2024-05-06,61.76,63.66,60.88,63.53,5778619,367115665.07
2024-05-07,63.53,64.47,62.72,62.96,5363330,337675256.8
2024-05-08,62.96,64.58,62.08,64.44,798637,51464168.28
2024-05-09,64.44,65.69,63.5,64.78,1120943,72614687.54
2024-05-10,64.78,65.01,63.18,63.59,4511195,286866890.05
2024-05-13,63.59,65.85,63.11,65.76,2451365,161201762.4
2024-05-14,65.76,67.65,65.05,67.16,1342693,90175261.88
2024-05-15,67.16,67.4,66.35,67.2,1629222,109483718.4
2024-05-16,67.2,68.33,67.03,67.42,6258788,421967486.96
2024-05-17,67.42,68.08,65.94,66.61,4732063,315202716.43
2024-05-20,66.61,69.77,66.53,68.89,2517501,173430643.89
2024-05-21,68.89,70.06,68.45,69.35,4898758,339728867.3
2024-05-22,69.35,70.24,69.01,69.99,5236121,366476108.79
2024-05-23,69.99,70.19,68.7,69.53,748304,52029577.12
2024-05-24,69.53,72.51,69.2,72.04,919199,66219095.96
2024-05-27,72.04,73.42,71.07,73.22,6135982,449276602.04
2024-05-28,73.22,73.85,72.01,72.33,6587538,476476623.54
2024-05-29,72.33,72.5,71.59,72.01,6343455,456792194.55
2024-05-30,72.01,72.29,70.91,71.39,728319,51994693.41
2024-05-31,71.39,71.54,70.94,71.02,7723876,548549673.52
2024-06-03,71.02,71.4,70.44,70.78,3647962,258202750.36
2024-06-04,70.78,70.94,69.79,69.87,743679,51960851.73
2024-06-05,69.87,70.1,67.99,68.63,6879860,472164791.8
2024-06-06,68.63,71.78,68.18,71.09,6015405,427635141.45
2024-06-07,71.09,71.87,70.05,71.13,3601817,256197243.21
2024-06-10,71.13,72.07,70.73,71.47,5191016,371001913.52
2024-06-11,71.47,74.14,70.71,73.85,7281347,537727475.95
2024-06-12,73.85,74.44,72.17,72.24,778758,56257477.92
2024-06-13,72.24,72.59,71.07,71.18,7850952,558830763.36
2024-06-14,71.18,71.85,70.34,70.57,6079731,429046616.67
2024-06-17,70.57,70.67,69.78,70.65,1151261,81336589.65
